account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,churn_event_id,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,feature_events,total_feature_usage,support_ticket_count,Churn
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-faa8ec,2024-12-09,,Basic,11,209,2508,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-faa8ec,2024-12-09,,Basic,11,209,2508,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-b78829,2024-11-12,,Pro,20,980,11760,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-b78829,2024-11-12,,Pro,20,980,11760,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-7ce677,2024-10-20,,Pro,9,441,5292,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-7ce677,2024-10-20,,Pro,9,441,5292,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-34a131,2024-11-29,,Enterprise,9,1791,21492,False,False,False,False,annual,False,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-34a131,2024-11-29,,Enterprise,9,1791,21492,False,False,False,False,annual,False,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-1e349b,2024-11-13,,Basic,102,1938,23256,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-1e349b,2024-11-13,,Basic,102,1938,23256,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d24841,2024-11-17,,Pro,9,0,0,True,True,False,False,annual,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d24841,2024-11-17,,Pro,9,0,0,True,True,False,False,annual,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-c4cef7,2024-10-25,,Pro,13,637,7644,False,False,False,False,annual,False,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-c4cef7,2024-10-25,,Pro,13,637,7644,False,False,False,False,annual,False,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,2024-12-22,,Basic,44,836,10032,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,2024-12-22,,Basic,44,836,10032,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-e79dbc,2024-10-30,,Pro,66,0,0,True,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-e79dbc,2024-10-30,,Pro,66,0,0,True,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d4d459,2024-12-19,,Enterprise,29,5771,69252,False,False,False,False,monthly,True,C-695fcd,budget,0.0,False,False,False,switched to competitor,55,535,2.0,1
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d4d459,2024-12-19,,Enterprise,29,5771,69252,False,False,False,False,monthly,True,C-cea92d,competitor,0.0,True,False,False,,55,535,2.0,1
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-f3274c,2024-02-07,,Pro,18,882,10584,False,False,False,False,annual,False,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-8e5fd4,2024-03-09,,Basic,27,513,6156,False,True,False,False,annual,True,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,2024-07-08,,Pro,18,882,10584,False,False,False,False,monthly,True,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-df262a,2023-11-06,,Enterprise,28,5572,66864,False,True,False,False,monthly,True,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-c80ac4,2023-11-29,,Basic,18,342,4104,False,False,False,False,annual,True,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-9171f0,2024-03-26,,Basic,27,513,6156,False,False,False,False,annual,True,,,,,,,,35,355,3.0,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-0d2fb8,2023-09-20,,Basic,22,418,5016,False,False,False,False,annual,False,,,,,,,,35,355,3.0,0
