Variable,Data_Type,Unique_Values,Sample_Values
account_id,object,500,['A-2e4581' 'A-43a9e3' 'A-0a282f' 'A-1f0ac7' 'A-ce550d']
account_name,object,500,['Company_0' 'Company_1' 'Company_2' 'Company_3' 'Company_4']
industry,object,5,['EdTech' 'FinTech' 'DevTools' 'HealthTech' 'Cybersecurity']
country,object,7,['US' 'IN' 'UK' 'CA' 'DE']
signup_date,object,370,['2024-10-16' '2023-08-17' '2024-08-27' '2023-08-27' '2024-10-27']
referral_source,object,5,['partner' 'other' 'organic' 'event' 'ads']
plan_tier_x,object,3,['Basic' 'Enterprise' 'Pro']
seats_x,int64,73,[ 9 18  1 24 35]
is_trial_x,bool,2,[False  True]
churn_flag_x,bool,2,[False  True]
subscription_id,object,5000,['S-faa8ec' 'S-b78829' 'S-7ce677' 'S-34a131' 'S-1e349b']
start_date,object,625,['2024-12-09' '2024-11-12' '2024-10-20' '2024-11-29' '2024-11-13']
end_date,object,208,['2024-12-28' '2024-09-25' '2024-12-16' '2024-12-30' '2024-12-31']
plan_tier_y,object,3,['Basic' 'Pro' 'Enterprise']
seats_y,int64,123,[ 11  20   9 102  13]
mrr_amount,int64,306,[ 209  980  441 1791 1938]
arr_amount,int64,306,[ 2508 11760  5292 21492 23256]
is_trial_y,bool,2,[False  True]
upgrade_flag,bool,2,[False  True]
downgrade_flag,bool,2,[False  True]
churn_flag_y,bool,2,[False  True]
billing_frequency,object,2,['monthly' 'annual']
auto_renew_flag,bool,2,[ True False]
churn_event_id,object,600,['C-695fcd' 'C-cea92d' 'C-100b97' 'C-484fba' 'C-109d03']
reason_code,object,6,['budget' 'competitor' 'features' 'support' 'unknown']
refund_amount_usd,float64,142,[  0.    62.66  22.66 128.79  35.48]
preceding_upgrade_flag,object,2,[False True]
preceding_downgrade_flag,object,2,[False True]
is_reactivation,object,2,[False True]
feedback_text,object,3,['switched to competitor' 'too expensive' 'missing features']
feature_events,int64,81,[55 35 83 41 58]
total_feature_usage,int64,355,[535 355 821 382 579]
support_ticket_count,float64,12,[2. 3. 7. 4. 6.]
Churn,int64,2,[1 0]
