Variable,Data_Type,Unique_Values,Sample_Values
gender,object,2,['Female' 'Male']
SeniorCitizen,int64,2,[0 1]
Partner,object,2,['Yes' 'No']
Dependents,object,2,['No' 'Yes']
tenure,int64,73,[ 1 34  2 45  8]
PhoneService,object,2,['No' 'Yes']
MultipleLines,object,3,['No phone service' 'No' 'Yes']
InternetService,object,3,['DSL' 'Fiber optic' 'No']
OnlineSecurity,object,3,['No' 'Yes' 'No internet service']
OnlineBackup,object,3,['Yes' 'No' 'No internet service']
DeviceProtection,object,3,['No' 'Yes' 'No internet service']
TechSupport,object,3,['No' 'Yes' 'No internet service']
StreamingTV,object,3,['No' 'Yes' 'No internet service']
StreamingMovies,object,3,['No' 'Yes' 'No internet service']
Contract,object,3,['Month-to-month' 'One year' 'Two year']
PaperlessBilling,object,2,['Yes' 'No']
PaymentMethod,object,4,"['Electronic check' 'Mailed check' 'Bank transfer (automatic)'
 'Credit card (automatic)']"
MonthlyCharges,float64,1585,[29.85 56.95 53.85 42.3  70.7 ]
TotalCharges,float64,6531,[  29.85 1889.5   108.15 1840.75  151.65]
Churn,int64,2,[0 1]
